iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,cost_mean,cost_std,cost_max,cost_min,rollout_success,step,time_vpg,time_npg,kl_dist,surr_improvement,surr_cost_improvement,running_score,success_rate,average_cost,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success,eval_avg_cost
32,10.278379201889038,-4.300878129182319,4.171964315954651,39.00777011905197,-7.704089762797679,411.05,255.35543366061356,1320,0,0.0,1.0,0.07656669616699219,1.886021375656128,0.00980442,-0.022957535,0.002772461,-3.5481430317695315,0.0,411.05,40000,11.44869089126587,0.4525275336209598,0.27426975187842645,-3.9253607008463662,0.0,160.0
33,10.05954623222351,-4.562994349856059,1.9789243883751395,14.087070248869985,-7.307621659633573,499.0,320.90808652946095,1860,0,0.0,0.8,0.08034801483154297,1.840125322341919,0.0065005026,-0.024791438,0.0024237325,-3.649628163578184,0.0,499.0,40000,11.849955797195435,0.2108921080061906,0.09693347172445188,-4.049319127534901,0.0,150.0
34,9.943464040756226,-4.393155115407783,3.896614931347518,46.70150161688618,-7.175229198231998,504.35,339.0008517688414,1640,0,0.0,1.0,0.08488082885742188,1.8352532386779785,0.009968934,0.002835789,-0.02027377,-3.723980858761144,0.0,504.35,40000,10.830416679382324,0.48560675637842166,0.33076726171344045,-3.99773465476784,0.0,96.0
35,9.951642990112305,-4.466196763276088,1.4203690149174215,1.605972822229146,-7.332042420740617,423.0,278.0125896429872,1580,0,0.0,1.0,0.07800436019897461,1.765195369720459,0.0099244015,-0.022406556,0.0018785353,-3.7982024492126385,0.0,423.0,40000,9.956546783447266,0.05218765109032513,0.025123906421151643,-4.096282016013334,0.0,64.0
36,9.959396362304688,-4.56415267016676,2.5770419520738135,20.704099139946226,-7.368899440866043,406.5,260.70625232241747,1150,0,0.0,0.8,0.07712960243225098,1.7792253494262695,0.0065661636,-0.017220266,0.0010996857,-3.874797471308051,0.0,406.5,40000,10.488860845565796,0.2796123811122058,0.10678942988413231,-4.148038490777103,0.0,60.4
37,9.960442543029785,-4.680595090319219,1.4001665435572364,4.228637185270905,-7.889174450843344,465.3,291.2694800352416,1450,0,0.0,0.8,0.07978081703186035,1.7753181457519531,0.0065042404,-0.024515532,0.0020811807,-3.955377233209168,0.0,465.3,40000,10.657199621200562,0.043117532920530104,0.023709805990867902,-4.212650838994595,0.0,69.2
38,9.960265159606934,-4.716345704560651,1.3075616500045921,-0.7965713127114643,-7.555895117021608,523.05,348.82115403169,1780,0,0.0,1.0,0.07988476753234863,1.8519432544708252,0.009882346,0.0063567944,-0.018920433,-4.031474080344316,0.0,523.05,40000,11.188482999801636,0.012498561055095314,0.009977271371257694,-4.15369237396219,0.0,29.2
39,9.96385383605957,-4.419781885230105,2.518592441492119,21.94644628213056,-7.544102191851058,390.05,264.7989756400126,1390,0,0.0,1.0,0.07889246940612793,1.795536756515503,0.009735831,-0.018582564,0.0015912986,-4.070304860832895,0.0,390.05,40000,8.912593603134155,0.29402027031863,0.2550647158803045,-4.2435974499168685,0.0,73.2
40,10.06281852722168,-4.816800365623563,1.3233496024240536,-2.036088131143899,-7.729368344859653,430.25,314.1789895903289,1720,0,0.0,0.8,0.07632780075073242,1.8292741775512695,0.0064075654,-0.018125558,0.0029433966,-4.144954411311962,0.0,430.25,40000,8.73193907737732,0.037328395026292906,0.011821769112000608,-4.43994316956534,0.0,57.2
41,10.07626485824585,-4.969032207270971,1.411136484177418,2.1396935063458247,-7.858353928177796,489.5,383.3402535607238,1820,0,0.0,1.0,0.07898974418640137,1.7768149375915527,0.0099654775,-0.022874692,0.0042639254,-4.227362190907863,0.0,489.5,40000,9.516798973083496,0.02253256695521762,0.020953062249370696,-4.631470548502846,0.0,108.4
