iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,constraint_violation,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
48,21.777974843978882,-1408.9640386047342,598.5482891229244,26.389709906708703,-1984.5238072645884,"(0.0, 288110)",147.55607865322187,0.05,0.11845159530639648,3.889918804168701,0.024877215,0.03458419,-1671.603690439928,0.0,288110,40000,15.328191041946411,0.15018433219220012,0.14150457249134354,-718.2108345547718,"(4.0, 20490)"
49,19.84308934211731,-1418.356769729976,593.5263044931079,-161.4617426597708,-1983.1356318388523,"(0.0, 289370)",147.3714886394705,0.05,0.09763598442077637,4.225544691085815,0.02545922,0.034514096,-1646.278998368933,0.0,289370,40000,14.873415470123291,0.13846509380251898,0.12867703317948867,-662.5474739669918,"(8.0, 19280)"
50,20.663785696029663,-1439.6605402062103,599.0946278907811,-182.8913748892366,-1998.4167669642927,"(0.0, 293560)",144.61891557730385,0.05,0.10170125961303711,4.150222063064575,0.024959033,0.03374883,-1625.6171525526606,0.0,293560,40000,15.744093894958496,0.13804017359855844,0.12708064550428538,-635.8510715955549,"(4.0, 17900)"
51,20.20263147354126,-1350.39138770939,647.2324177124195,-137.25962136826405,-2019.458642284589,"(0.0, 277000)",144.35014683829152,0.05,0.20265841484069824,4.304816722869873,0.024869915,0.034239165,-1598.0945760683335,0.0,277000,40000,13.736819744110107,0.16273598542124063,0.1544550904405566,-597.7745981997036,"(4.0, 17380)"
52,22.08205533027649,-1292.2039328294052,650.6807567485449,-133.1408552089764,-2000.2081325464499,"(0.0, 265950)",142.34449299257474,0.05,0.17646312713623047,4.514691591262817,0.0253355,0.03470266,-1567.5055117444406,0.0,265950,40000,15.917722702026367,0.18749336158587493,0.17052348235217915,-540.2377036564045,"(4.0, 16480)"
53,18.882802486419678,-1285.4901838075139,623.029025564961,322.23640619491016,-1987.4200070205254,"(0.5, 265690)",137.7533710251178,0.05,0.2083585262298584,4.143634080886841,0.02503266,0.035885368,-1539.303978950748,0.5,265690,40000,12.988650560379028,0.17075633124016285,0.159314326914047,-502.58069765047384,"(0.0, 14550)"
54,19.036441564559937,-1279.8391241186366,639.2795272915457,79.68859187221965,-2192.388229897184,"(1.5, 265010)",145.7800010611205,0.05,0.1736299991607666,4.162108898162842,0.02517018,0.03390939,-1513.3574934675369,1.5,265010,40000,11.663331270217896,0.1877742997663953,0.1729337016629013,-461.03196441920585,"(4.0, 15730)"
55,21.056798458099365,-1197.1599781787802,652.6423700709428,307.2273390585372,-2182.8600208019625,"(1.5, 250090)",153.5450831767165,0.05,0.2534608840942383,4.148653507232666,0.024977144,0.032694567,-1481.7377419386612,1.5,250090,40000,12.700597763061523,0.20719117040383084,0.18829339827928637,-404.0537171044036,"(12.0, 15180)"
56,20.946061611175537,-1167.954010197277,656.0051741964504,19.008877108887845,-2163.550640380749,"(0.5, 243820)",144.04738257089207,0.05,0.14520764350891113,3.756171703338623,0.02488857,0.034377437,-1450.3593687645227,0.5,243820,40000,15.852353572845459,0.20149691803816244,0.19330722416539145,-470.0120985152178,"(8.0, 15440)"
57,19.189208507537842,-1142.3275093314335,652.014192195192,479.7527148714721,-1995.3774389163796,"(1.5, 240100)",139.95295822860953,0.05,0.13686323165893555,3.898259162902832,0.024893604,0.036285665,-1419.5561828212137,1.5,240100,40000,17.229506015777588,0.21888878894803102,0.21244518972296725,-410.8732844943646,"(4.0, 14640)"
58,20.008332014083862,-1004.6604916327715,637.6448392378936,238.1545721996986,-1989.4939065470926,"(1.5, 214670)",141.0559811722294,0.05,0.10815906524658203,4.193923473358154,0.025500538,0.035544977,-1378.0666137023695,1.5,214670,40000,12.659843683242798,0.2513338510559809,0.23374790689575206,-323.13745164553,"(8.0, 12220)"
59,21.246217012405396,-1022.0891658365042,660.7584617877025,643.6797855675455,-2172.4579064012364,"(2.0, 219010)",137.4901795311985,0.05,0.2027602195739746,3.7791519165039062,0.025345858,0.035550084,-1342.4688689157829,2.0,219010,40000,12.505982875823975,0.25102578313671836,0.23662018793454745,-392.1776256586904,"(4.0, 12710)"
60,22.75029420852661,-1003.3775413175276,695.6835891233676,555.3358564247987,-1984.1913343145343,"(3.0, 216780)",145.16562003921396,0.05,0.1098029613494873,3.804776191711426,0.024932427,0.03445817,-1308.5597361559574,3.0,216780,40000,12.594504594802856,0.26125289586443895,0.25077128688407263,-257.8045519713215,"(4.0, 11150)"
61,22.277256965637207,-963.5315494507969,646.8495371435549,74.1312190267156,-1993.0451320719683,"(3.0, 209000)",139.76099579356517,0.05,0.11356067657470703,3.3128464221954346,0.0248439,0.035111025,-1274.0569174854413,3.0,209000,40000,14.920642137527466,0.25893353592392354,0.24411406492570115,-327.31158197626326,"(0.0, 10930)"
62,22.69607377052307,-889.3930611777079,671.5833829575407,1296.276832878306,-2000.6145943587285,"(7.0, 200440)",147.57621494998622,0.05,0.24312090873718262,4.249184608459473,0.025108485,0.03309275,-1235.590531854668,7.0,200440,40000,15.09863018989563,0.3179074585635359,0.2983421975653928,-353.02322863735935,"(4.0, 11320)"
63,21.220783472061157,-798.6891778404438,657.0344575222473,1120.3344539397938,-1983.6641877552972,"(5.0, 184220)",147.23139353846776,0.05,0.14284563064575195,4.096572160720825,0.024917522,0.033897407,-1191.9003964532455,5.0,184220,40000,13.06641435623169,0.33071828447491647,0.3074950862453647,-327.8105539531101,"(4.0, 11360)"
64,21.770912885665894,-757.7446448409996,693.4256962373755,1247.7069364346285,-1992.383162255729,"(8.0, 179760)",144.57358823968613,0.05,0.17530465126037598,4.394253253936768,0.024813317,0.03416296,-1148.484821292021,8.0,179760,40000,14.028287172317505,0.3725458816924817,0.35163353568825245,-221.84621423555288,"(8.0, 9400)"
65,22.99237561225891,-760.0380323522617,699.3637168229927,2259.3540147631993,-1999.423874707027,"(10.5, 185330)",146.8503606418506,0.05,0.186279296875,3.914522171020508,0.025092898,0.03326936,-1109.640142398045,10.5,185330,40000,13.35846471786499,0.390470250955882,0.37101107961498997,-230.52756690013604,"(8.0, 9410)"
66,22.859668254852295,-724.2317272624258,613.7265699971969,1225.122114334392,-1983.9388195741524,"(5.0, 170060)",144.30943105599388,0.05,0.17430591583251953,4.011855602264404,0.025382375,0.03460511,-1071.0993008844832,5.0,170060,40000,11.154311418533325,0.3967242308634406,0.36629176503022765,-154.17604232010154,"(16.0, 9440)"
67,22.28435230255127,-676.3121248605685,639.8302758925283,951.9580768072216,-1977.7855824441497,"(8.0, 163450)",142.11171034331096,0.05,0.21961760520935059,3.4546587467193604,0.025143703,0.035252932,-1031.6205832820917,8.0,163450,40000,12.06726861000061,0.3851793656565883,0.3602806645607569,-269.22317520245304,"(0.0, 9330)"
68,24.427549839019775,-593.5137301570695,568.7400729201287,1115.0809413170555,-1997.3052925871525,"(8.0, 146920)",146.38167688759503,0.05,0.17287063598632812,4.421156644821167,0.02523995,0.03372596,-987.8098979695895,8.0,146920,40000,11.805285930633545,0.4536731689147224,0.41730961072294753,-223.31337512401,"(4.0, 9290)"
69,22.765204191207886,-592.144502762863,703.7447810250981,2156.378349334882,-1974.9858125364972,"(12.0, 157550)",139.99537956302962,0.05,0.14610910415649414,4.490996599197388,0.02528604,0.03717029,-948.243358448917,12.0,157550,40000,12.771734952926636,0.4857172131004281,0.4591738550105593,-53.542683451286265,"(16.0, 8790)"
70,23.019047737121582,-631.3143690257988,561.6578804126095,1358.3234118249402,-1984.1768756616593,"(5.0, 153050)",146.153061087382,0.05,0.20732998847961426,4.1828227043151855,0.024414064,0.03299678,-916.5504595066052,5.0,153050,40000,10.331266164779663,0.4666407196229904,0.4150620129660281,-217.32543714286393,"(8.0, 8850)"
71,23.399851083755493,-493.71391479677317,650.8647092349825,1913.6521707145837,-1985.3038067613534,"(13.0, 140100)",150.470367821214,0.05,0.23007440567016602,3.8919005393981934,0.024755273,0.03260892,-874.266805035622,13.0,140100,40000,9.585250616073608,0.5820340140678967,0.5141729195242395,-221.4065849380326,"(4.0, 8880)"
72,23.43953776359558,-466.99742704564824,649.0607020219045,1638.3332615945221,-1972.9279159306332,"(11.5, 135410)",151.0884429614893,0.05,0.18802475929260254,4.116172790527344,0.024468,0.031997155,-833.5398672366247,11.5,135410,40000,11.99112844467163,0.5383063237380115,0.5031254157275997,-278.61929341914094,"(8.0, 10460)"
73,24.421183347702026,-470.631869735295,691.9704612052591,1703.8889968017834,-1995.807538624425,"(16.0, 140590)",146.0541452262204,0.05,0.205092191696167,4.271788597106934,0.02483312,0.032806683,-797.2490674864916,16.0,140590,40000,10.77980899810791,0.4950499384803788,0.4535648780733373,54.059958985333445,"(36.0, 10630)"
74,24.09881615638733,-483.5957595976616,636.7961424071873,1407.00317994782,-1963.9843205601635,"(15.5, 141030)",146.576492772379,0.05,0.18316864967346191,4.147039413452148,0.0254229,0.033973664,-765.8837366976087,15.5,141030,40000,11.668320178985596,0.5537701967083732,0.5142708361208299,-165.36173364232252,"(12.0, 9820)"
